Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume
A,30840000000.0,0.0091,0.1101,0.2061,0.1343,2.2,1.66,0.56,0.56,0.5434,0.2434,0.19269999999999998,May 28/a,108.17,-0.0138,659614.0
AAPL,2930860000000.0,0.0053,0.29100000000000004,1.3802,0.6693000000000001,0.82,0.78,1.18,1.47,0.46630000000000005,0.3181,0.243,May 01/a,196.23,-0.0255,49093896.0
ABBV,324560000000.0,0.0354,0.0292,0.8815000000000001,0.063,0.76,0.64,45.44,49.22,0.708,0.3074,0.0724,Apr 25/b,183.74,0.0066,1920631.0
ABEV,39270000000.0,0.0635,0.09630000000000001,0.1509,0.1512,1.11,0.8,0.02,0.03,0.479,0.2206,0.1564,May 08/b,2.51,0.0,16510640.0
ABNB,79420000000.0,,0.1024,0.3206,0.311,1.27,1.27,0.03,0.29,0.7147,0.2217,0.226,May 01/a,126.78,-0.0068000000000000005,2350973.0
ABT,228310000000.0,0.0181,0.1745,0.3066,0.2182,1.78,1.27,0.26,0.27,0.5142,0.1696,0.3172,Apr 16/b,131.22,-0.0021,2603285.0
ACGL,34540000000.0,0.0353,0.065,0.18420000000000003,0.1535,0.52,,0.13,0.13,,0.2028,0.2112,Apr 29/a,92.16,0.0021,358369.0
ACI,12730000000.0,0.0271,0.033,0.3126,0.057,0.9,0.22,3.96,4.19,0.2565,0.025,0.011899999999999999,Apr 15/b,22.11,0.0126,1038812.0
ACM,14230000000.0,0.0058,0.0542,0.2807,0.11779999999999999,1.15,1.15,1.29,1.38,0.0709,0.061,0.0385,May 05/a,107.58,0.002,160428.0
ACN,194650000000.0,0.0184,0.1382,0.2726,0.21050000000000002,1.48,1.48,0.25,0.28,0.3221,0.15439999999999998,0.1143,Mar 20/b,310.94,-0.0174,1511583.0
ADBE,174460000000.0,,0.23,0.4728,0.3447,1.18,1.18,0.5,0.5,0.8839,0.3664,0.3063,Jun 12/a,409.34,-0.012,989684.0
ADI,104200000000.0,0.018600000000000002,0.0381,0.0521,0.044000000000000004,2.08,1.51,0.19,0.21,0.511,0.2348,0.1865,May 22/b,210.1,-0.0086,2342859.0
