Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,30830000000.0,24.85,108.14,-0.013999999999999999,640288.0
AAPL,Apple Inc,Technology,Consumer Electronics,USA,2932350000000.0,30.64,196.33,-0.025,48235356.0
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,324980000000.0,78.45,183.98,0.0079,1873700.0
ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,39200000000.0,15.5,2.51,-0.002,15875026.0
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,79500000000.0,31.94,126.92,-0.005699999999999999,2277369.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,228410000000.0,17.03,131.28,-0.0017000000000000001,2558415.0
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,34540000000.0,9.45,92.16,0.0021,348657.0
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,12730000000.0,13.45,22.11,0.0128,1018219.0
ACM,AECOM,Industrials,Engineering & Construction,USA,14240000000.0,23.48,107.64,0.0025,152381.0
ACN,Accenture plc,Technology,Information Technology Services,Ireland,194710000000.0,25.66,311.02,-0.0172,1486423.0
ADBE,Adobe Inc,Technology,Software - Application,USA,174350000000.0,26.94,409.07,-0.0127,961710.0
ADI,Analog Devices Inc,Technology,Semiconductors,USA,104440000000.0,57.32,210.57,-0.0064,2306453.0
ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products,USA,22970000000.0,17.04,47.81,-0.0032,657932.0
ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,130380000000.0,32.88,321.18,-0.0015,387076.0
ADSK,Autodesk Inc,Technology,Software - Application,USA,62780000000.0,62.93,293.43,-0.0053,1798163.0
AEE,Ameren Corp,Utilities,Utilities - Regulated Electric,USA,26570000000.0,21.3,96.03,0.0066,405096.0
AEG,Aegon Ltd,Financial,Insurance - Diversified,Netherlands,11040000000.0,14.85,6.97,0.0,10379752.0
AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold,Canada,59720000000.0,25.1,118.13,0.030899999999999997,2048943.0
AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,54760000000.0,19.78,102.51,0.006999999999999999,637088.0
AER,Aercap Holdings N.V,Industrials,Rental & Leasing Services,Ireland,19910000000.0,10.04,112.74,0.0058,377593.0
AFL,Aflac Inc,Financial,Insurance - Life,USA,55540000000.0,16.03,102.72,0.0026,608904.0
AFRM,Affirm Holdings Inc,Technology,Software - Infrastructure,USA,16040000000.0,,49.73,0.0155,4217089.0
