Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,Change from Open,Gap,Volume
A,1.23,3.51,-0.0148,-0.022099999999999998,-0.1757,-0.2968,0.1219,45.95,108.19,-0.013600000000000001,0.38%,-0.0173,661233.0
AAPL,1.23,6.33,-0.0466,-0.049699999999999994,-0.1315,-0.24559999999999998,0.1597,39.44,196.23,-0.0255,1.32%,-0.0382,49176200.0
ABBV,0.5,5.48,-0.021099999999999997,-0.0366,-0.028999999999999998,-0.15960000000000002,0.19649999999999998,46.97,183.75,0.0066,0.76%,-0.0009,1925106.0
ABEV,0.82,0.06,0.0001,0.0449,0.1467,-0.0455,0.429,58.31,2.52,0.002,2.24%,-0.0199,16520833.0
ABNB,1.15,4.27,-0.0158,0.0304,-0.0181,-0.226,0.2703,48.75,126.88,-0.0060999999999999995,1.43%,-0.020099999999999996,2353910.0
ABT,0.73,2.74,-0.0075,0.0111,0.0812,-0.0704,0.31670000000000004,48.75,131.29,-0.0016,-0.30%,0.0014000000000000002,2606687.0
ACGL,0.53,2.12,-0.0067,-0.006,-0.0418,-0.1671,0.1182,48.03,92.24,0.0029,0.60%,-0.003,360269.0
ACI,0.45,0.49,0.0052,0.015700000000000002,0.09960000000000001,-0.047400000000000005,0.30010000000000003,52.91,22.1,0.0124,0.92%,0.0032,1039549.0
ACM,0.96,2.1,0.0291,0.096,0.045899999999999996,-0.09269999999999999,0.30820000000000003,67.15,107.57,0.0019,1.03%,-0.0084,160479.0
ACN,1.34,7.08,-0.0005,0.0223,-0.09179999999999999,-0.2194,0.1306,50.42,310.94,-0.0174,-0.06%,-0.0169,1513359.0
ADBE,1.55,9.04,0.0398,0.0783,-0.1142,-0.3032,0.2335,63.96,409.53,-0.0116,0.10%,-0.0126,991836.0
ADI,1.0,7.15,0.0014000000000000002,0.0547,-0.0232,-0.14859999999999998,0.326,51.76,210.37,-0.0074,0.67%,-0.0139,2347202.0
ADM,0.66,1.29,-0.016399999999999998,0.0076,-0.08439999999999999,-0.27649999999999997,0.16670000000000001,46.76,47.81,-0.0031,0.44%,-0.0075,677422.0
ADP,0.79,5.31,0.036699999999999997,0.0647,0.0915,-0.008199999999999999,0.38799999999999996,68.72,321.01,-0.002,0.61%,-0.008,394546.0
ADSK,1.46,6.67,0.0215,0.0791,0.0452,-0.1018,0.5019,62.14,293.36,-0.005600000000000001,-0.35%,-0.0021,1827523.0
AEE,0.5,1.91,-0.0166,-0.0218,0.044500000000000005,-0.07719999999999999,0.3843,44.46,96.06,0.0069,-0.21%,0.009000000000000001,426202.0
AEG,0.92,0.15,0.0322,0.0725,0.1027,-0.0176,0.2851,65.01,6.97,-0.0007000000000000001,2.28%,-0.023,10640698.0
AEM,0.49,3.82,0.0449,0.059699999999999996,0.28550000000000003,-0.06860000000000001,0.8736,58.35,118.05,0.0302,0.71%,0.023,2089634.0
AEP,0.41,2.08,-0.0191,-0.025699999999999997,0.0207,-0.0722,0.1928,44.47,102.5,0.0069,-0.14%,0.0083,656621.0
AER,1.39,2.39,0.0259,0.091,0.15130000000000002,-0.0152,0.37060000000000004,67.29,112.68,0.0052,2.16%,-0.0161,385284.0
AFL,0.82,2.14,-0.0274,-0.0391,-0.0418,-0.1101,0.1888,39.78,102.79,0.0033,0.77%,-0.0044,628858.0
AFRM,3.6,3.48,-0.029300000000000003,0.0507,-0.034300000000000004,-0.3986,1.2306,49.75,49.63,0.013500000000000002,5.01%,-0.0349,4316102.0
AGI,0.57,1.04,0.012,-0.0116,0.2126,-0.15039999999999998,0.7547,51.33,26.34,0.0256,-0.35%,0.0292,1423466.0
