Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
A,30830000000.0,24.85,17.88,3.1,4.72,5.12,21.01,23.49,0.048600000000000004,0.0902,0.056299999999999996,0.0802,0.0504,108.12,-0.014199999999999999,657147.0
AAPL,2929870000000.0,30.61,25.12,3.75,7.32,43.87,60.41,29.75,0.064,0.08710000000000001,0.15410000000000001,0.0816,0.09179999999999999,196.16,-0.0258,49000256.0
ABBV,324490000000.0,78.33,13.13,5.15,5.66,228.5,62.69,21.09,0.20809999999999998,0.1445,-0.1467,0.152,0.1219,183.7,0.0064,1916636.0
ABEV,39350000000.0,15.56,13.85,1.95,2.41,2.38,11.1,9.64,0.0958,0.0527,-0.0217,0.0799,0.0537,2.52,0.002,16505376.0
ABNB,79390000000.0,31.89,26.25,2.81,7.07,9.88,6.88,18.23,0.0148,0.1577,,0.1134,0.2357,126.74,-0.0070999999999999995,2334947.0
ABT,228310000000.0,17.02,23.1,1.65,5.39,4.68,33.36,34.3,0.1045,0.1014,0.2998,0.10339999999999999,0.061500000000000006,131.23,-0.0021,2599659.0
ACGL,34550000000.0,9.46,9.94,4.92,1.96,1.67,,5.3,-0.1593,0.19030000000000002,0.23629999999999998,0.0192,0.2057,92.2,0.0025,358029.0
ACI,12720000000.0,13.44,9.78,,0.16,3.76,37.5,16.98,-0.0929,0.0647,0.11019999999999999,,0.0525,22.09,0.0121,1034907.0
ACM,14240000000.0,23.48,19.01,2.09,0.89,6.22,8.9,17.03,0.1391,0.1001,,0.11220000000000001,0.0355,107.65,0.0027,159808.0
ACN,194640000000.0,25.66,22.8,3.46,2.9,6.66,22.91,19.97,0.0636,0.0728,0.09210000000000002,0.0741,0.0875,310.91,-0.0175,1510602.0
ADBE,174380000000.0,26.95,17.93,2.37,7.91,13.59,23.45,18.97,0.10550000000000001,0.1202,0.15539999999999998,0.11349999999999999,0.1419,409.14,-0.0125,987700.0
ADI,104240000000.0,57.21,23.74,3.28,10.62,2.98,43.87,31.65,0.1552,0.2014,-0.021,0.1744,0.13470000000000001,210.17,-0.0083,2341658.0
ADM,22960000000.0,17.03,10.46,38.71,0.27,1.04,5.61,103.4,-0.1555,0.1412,0.0839,0.0044,0.0692,47.78,-0.0038,675953.0
ADP,130270000000.00002,32.85,29.49,3.75,6.45,22.27,48.6,28.25,0.0867,0.0907,0.1168,0.0877,0.063,320.92,-0.0023,392688.0
ADSK,62790000000.0,62.94,26.56,4.43,9.92,23.96,30.78,38.38,0.1356,0.1491,0.3967,0.142,0.1344,293.51,-0.0051,1822555.0
AEE,26570000000.0,21.3,18.1,2.94,3.36,2.12,421.67,,0.0694,0.0713,0.057,0.0724,0.0575,96.02,0.006500000000000001,422117.0
AEG,11020000000.0,14.83,6.95,0.36,0.45,1.46,,,1.1432,0.1736,-0.0757,0.4175,0.21960000000000002,6.96,-0.0014000000000000002,10632611.0
AEM,59700000000.0,25.1,18.4,2.42,6.69,2.74,51.81,26.2,0.4677,0.0338,0.1368,0.1039,0.2758,118.1,0.030600000000000002,2081738.0
AEP,54750000000.0,19.77,16.3,3.17,2.68,2.0,109.76,,0.0436,0.0721,0.0756,0.062400000000000004,0.0535,102.49,0.0067,653647.0
AER,19890000000.0,10.03,8.56,1.55,2.57,1.16,15.67,,0.021400000000000002,0.0729,0.0536,0.0646,0.0935,112.63,0.0048,384570.0
AFL,55570000000.0,16.04,14.35,11.8,3.29,2.12,,22.71,-0.0679,0.0659,0.16829999999999998,0.013600000000000001,-0.0308,102.78,0.0032,627139.0
AFRM,15990000000.0,,61.61,,5.32,5.56,6.35,26.26,1.0307,14.681199999999999,-0.2616,,0.5650999999999999,49.55,0.011899999999999999,4299401.0
